query_time,user_id,query,result_rank,click_rank,click_url
22DD920316420BE2DF8D6EE651BA174B,1,1,4,柔和双沟,女生
43CC3AF5A8D6430A3B572337A889AFE4,2,1,3,广州厨宝烤箱,"世情薄,人情恶,雨送黄昏花易落,晓风干,泪痕"
E97654BFF5570E2CCD433EA6128EAC19,4,1,0,钻石之泪耳机,盘锦到沈阳
6931EFC26D229CCFCEA125D3F3C21E57,4,2,3,最受欢迎狗狗排行榜,舶怎么读
E780470C3BB0D340334BD08CDCC3C71A,2,2,4,干槽症能自愈吗,太太万岁叶舒心去没去美国
5BB424C7298B2CB67C368DDB73D4D336,4,2,0,钢琴曲欣赏100首,一个月的宝宝眼睫毛那么是黄色
0D58894CD481D4B3039000661665C0DB,3,2,3,貔貅饲育指南,韩姨
0BA56489237BC91353300BE44298C6D8,6,1,0,昂的笔顺,三年级上册数学口算
3D39C1B9312105E030B039CCDCD79611,1,1,5,李明霖在哪直播,英文翻译
93174489E2E708BF6F797DC69F1531A8,1,1,5,bft20,龙王传说
410891627A7284154408E9AB188DC6F4,1,2,5,宠辱小说,陶喆的歌
AE2FCEA2720A3E8A9B81C11AE8FF13D6,1,1,5,lephone是什么牌子的手机,乳母动漫全集在线观看
3CEC23FD112E92FD34339A1D18208F9B,3,2,3,电信宽带送手机,李敏镐做饭
76115B7052E2D3C40C731F6ACB40907D,2,1,4,功夫圣医叶诚,vivox7处理器位数
35A1C01D912F88909320947C35E231A6,1,1,5,多亮你的背包,2015合肥10路公交车路线查询
70901A790856356C1193040D4952233A,6,1,3,吴靖平,使用假征值税发票属什么行为
C4834FD969574A71FD08D10CF73AD60B,1,1,5,笔记本电脑500g硬盘,windows7ultimate
A3A0E25C1D63AAC3041EFEDC95CF8A9C,1,2,5,脓包怎么快速去除,高考体检
FE0FE26A221ABC61997986CAC2BB82FF,2,2,4,奶油柠檬漫画,精灵梦叶罗丽第五季
72759C67B21282FDCB01CEAE67864CFB,3,2,4,公共自助洗衣机的用法,跟圣女果差不多大小的辣椒是什么品种的
B62AB59182F2C975FE0A7CDDAB8294AE,3,1,2,普通脉冲雷达怎么抑制地面回波,郭富城电影
8B9A1E907764F67D170A1F5984B96F6E,1,1,5,奈落,英语
20858CECBD8ED448A64B70C756ED8DEA,1,1,0,婚礼伴娘被脱精光,街头扒裤衣党视频
